prior_family,model,block,index,feature,prior_mean,prior_variance
RL,reward_shaping,eta,0,intercept,-0.022020491166264332,5.4534668280589514e-05
RL,reward_shaping,eta,1,weekday_vs_weekend,-0.002696674452247185,1e-06
RL,reward_shaping,eta,2,slot_pm,-0.010692345602288813,1.28577402569392e-05
RL,reward_shaping,eta,3,E_w,0.00011997722951267549,2.1081735167004466e-05
RL,reward_shaping,eta,4,weekday_vs_weekend*E_w,1.4692657460945563e-05,1e-06
RL,reward_shaping,eta,5,slot_pm*E_w,5.825655785817494e-05,4.970479944033511e-06
RL,reward_shaping,eta,6,b_hat,0.03567028762429622,0.00010909737642956241
RL,reward_shaping,eta,7,weekday_vs_weekend*b_hat,0.004368256485853477,1.6361282568600702e-06
RL,reward_shaping,eta,8,slot_pm*b_hat,0.017320187829089166,2.572209152584616e-05
RL,reward_shaping,eta,9,b_tilde,0.0,1e-06
RL,reward_shaping,eta,10,M_Y_day1_fourSC_morning,0.0009275325514929432,1.4417512654173286e-05
RL,reward_shaping,eta,11,M_Y_day1_fourSC_afternoon,-0.000856938810824349,7.270019597779455e-06
RL,reward_shaping,eta,12,M_Y_day1_anticipated_affect,0.012855718662118844,2.2630069668520666e-05
RL,reward_shaping,eta,13,M_Y_day2_fourSC_morning,-2.8165138261099332e-05,2.25935466885589e-05
RL,reward_shaping,eta,14,M_Y_day2_fourSC_afternoon,1.0601065995984965e-05,1.555242074025838e-05
RL,reward_shaping,eta,15,M_Y_day2_anticipated_affect,-0.010312551753217604,2.467430974969462e-05
RL,reward_shaping,eta,16,M_Y_day3_fourSC_morning,-0.0010313348904436477,1.644659899018322e-05
RL,reward_shaping,eta,17,M_Y_day3_fourSC_afternoon,0.002057243579148452,5.858064790656879e-06
RL,reward_shaping,eta,18,M_Y_day3_anticipated_affect,-0.012206851250255328,3.7648409646082547e-06
RL,reward_shaping,eta,19,M_Y_day4_fourSC_morning,0.003965547373465875,1.3855412863519162e-05
RL,reward_shaping,eta,20,M_Y_day4_fourSC_afternoon,0.004326878852709327,8.348649439344291e-06
RL,reward_shaping,eta,21,M_Y_day4_anticipated_affect,0.10167838476782562,2.3955780033461306e-06
RL,reward_shaping,eta,22,M_Y_day5_fourSC_morning,-0.0029552114146528825,3.2744503003506647e-06
RL,reward_shaping,eta,23,M_Y_day5_fourSC_afternoon,-0.0029057645939861215,2.348964651797569e-06
RL,reward_shaping,eta,24,M_Y_day5_anticipated_affect,0.06262856463796211,1e-06
RL,reward_shaping,eta,25,M_Y_day6_fourSC_morning,-0.0024002033452720653,1.4656963875423993e-05
RL,reward_shaping,eta,26,M_Y_day6_fourSC_afternoon,-0.012787712108167844,1e-06
RL,reward_shaping,eta,27,M_Y_day6_anticipated_affect,0.0946529224191938,1e-06
RL,reward_shaping,eta,28,M_E_day1_pageview_morning,-0.00015280540943834995,1.0328240654241179e-05
RL,reward_shaping,eta,29,M_E_day1_pageview_afternoon,-0.000409832476715642,2.6950086205458117e-05
RL,reward_shaping,eta,30,M_E_day1_morning_fitbit_wear,-0.0008363174048585935,1.6810547940610115e-05
RL,reward_shaping,eta,31,M_E_day1_daily_survey_complete,0.0035197772093996465,0.00010094167599804432
RL,reward_shaping,eta,32,M_E_day2_pageview_morning,0.0021387277182871433,1.5389554292409536e-05
RL,reward_shaping,eta,33,M_E_day2_pageview_afternoon,0.0012812842362389723,2.903072308478515e-05
RL,reward_shaping,eta,34,M_E_day2_morning_fitbit_wear,0.0003101348523737165,1.1332116497821717e-05
RL,reward_shaping,eta,35,M_E_day2_daily_survey_complete,-0.00017694252966030043,3.189922372701398e-05
RL,reward_shaping,eta,36,M_E_day3_pageview_morning,0.0011770745284404658,8.56111778063165e-06
RL,reward_shaping,eta,37,M_E_day3_pageview_afternoon,-0.002410126784045541,2.5070291714370046e-05
RL,reward_shaping,eta,38,M_E_day3_morning_fitbit_wear,0.0012227660232064163,7.192960610171216e-06
RL,reward_shaping,eta,39,M_E_day3_daily_survey_complete,-0.006232124994339824,9.358174487947627e-06
RL,reward_shaping,eta,40,M_E_day4_pageview_morning,0.0013811347641637026,3.477507566513519e-06
RL,reward_shaping,eta,41,M_E_day4_pageview_afternoon,0.00734411377039775,2.7541367623025086e-05
RL,reward_shaping,eta,43,M_E_day4_daily_survey_complete,-0.007687366552760785,4.05966759106956e-06
RL,reward_shaping,eta,44,M_E_day5_pageview_morning,-0.0016789558784700558,6.670694387443969e-06
RL,reward_shaping,eta,45,M_E_day5_pageview_afternoon,-1.0273955693140866e-05,8.877195270355082e-06
RL,reward_shaping,eta,46,M_E_day5_morning_fitbit_wear,0.009864386429573126,5.425799814184946e-06
RL,reward_shaping,eta,47,M_E_day5_daily_survey_complete,-0.0013638325144227548,1.675530928342827e-05
RL,reward_shaping,eta,48,M_E_day6_pageview_morning,-0.0061458574230416,2.739860647995416e-06
RL,reward_shaping,eta,49,M_E_day6_pageview_afternoon,-0.030692550058464475,1e-06
RL,reward_shaping,eta,50,M_E_day6_morning_fitbit_wear,-0.012475376673944294,1e-06
RL,reward_shaping,eta,51,M_E_day6_daily_survey_complete,0.04753604840299883,1e-06
RL,reward_shaping,eta,52,yesterday_step_count,-0.0058815814136141484,2.0927551615586123e-05
RL,reward_shaping,eta,53,ema_step_count,0.0036666393560382212,4.913627540960543e-05
RL,reward_shaping,eta,54,prior2hour_step_count,-0.00266446769970103,1.0314268047718819e-05
RL,reward_shaping,eta,56,active_status_fraction_7days,-0.0044859047727615065,3.485054443543585e-05
RL,reward_shaping,eta,57,recent_burden,0.00030534229900887815,1.9922139809898705e-05
RL,reward_shaping,eta,58,salience_yesterday,0.003675470985436201,2.9413906428678864e-05
RL,reward_shaping,eta,59,walk_interaction_7d,-0.007257419025214968,3.465680388967673e-06
